k,Inertia,Silhouette
2,1573.1895897152006,0.3428297492496058
3,1309.3955198481813,0.2576552528415788
4,1114.1599548423287,0.2684023814085045
5,970.9300452495684,0.2881116096119264
6,843.934296336205,0.2654066180976415
7,772.3780736497546,0.25136069084317125
8,712.3057932885363,0.2583028339740663
