Variable,VIF
GDP,56.25644416734133
Schooling,29.306293585516162
BMI,15.338177604539604
Adult Mortality,11.709528173634768
Total expenditure,10.941561183861925
Sanitation,9.782278902111308
Education Expenditure %,8.36728709836741
HIV/AIDS,4.793447576976379
Undernourishment,3.0307036967576706
