Country,Region,IncomeGroup,Cluster,Life expectancy,GDP,Schooling,Adult Mortality,HIV/AIDS,Sanitation,Undernourishment,Health Expenditure %,CO2
Belize,Latin America & Caribbean,Upper middle income,1,69.33333333333333,3970.918072066667,12.506666666666666,152.8,0.44,47.891129819999996,6.46,5.268521278,599.3333338896432
Benin,Sub-Saharan Africa,Lower middle income,2,57.71333333333334,573.6330062533333,9.013333333333332,268.73333333333335,1.6866666666666668,47.891129819999996,10.426666666666668,2.978098027333333,3808.000039418538
Bhutan,South Asia,Lower middle income,1,66.44,1393.1951929266666,10.42,224.8,0.3733333333333333,63.86977589599999,6.6,3.9591136453333333,424.6666607459387
Bolivia,Latin America & Caribbean,Lower middle income,1,68.04666666666667,3045.0455303666668,14.006666666666666,173.13333333333333,0.16000000000000003,36.534034294,22.259999999999998,5.176383018666667,13633.333320617672
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1,76.06,2297.244078466667,13.04,61.53333333333333,0.1,24.20190609666667,2.5866666666666664,8.929579608000001,18709.33327738444
Botswana,Sub-Saharan Africa,Upper middle income,2,56.6,4574.858577933333,12.166666666666666,434.8666666666667,15.04,47.891129819999996,21.89333333333333,5.843329970666667,4472.000034332276
Brazil,Latin America & Caribbean,Upper middle income,3,73.27333333333333,6303.431289066666,14.166666666666666,148.53333333333333,0.1,39.376511910666665,5.34,8.213688373333333,384949.33235677105
Bulgaria,Europe & Central Asia,Upper middle income,3,72.96666666666667,5256.9615521333335,13.780000000000001,123.0,0.1,53.402160646,4.16,6.975295066666666,46210.00019327799
Burkina Faso,Sub-Saharan Africa,Low income,2,55.95333333333333,422.6317711733334,5.54,246.13333333333333,1.6933333333333331,47.891129819999996,15.573333333333332,4.455660056666667,1924.666676998139
Burundi,Sub-Saharan Africa,Low income,2,55.373333333333335,137.93644637333333,7.680000000000001,285.26666666666665,2.9466666666666663,47.891129819999996,6.6,8.505230744666667,252.66666988531728
Cambodia,East Asia & Pacific,Lower middle income,2,64.78666666666666,497.0309399866666,10.053333333333335,191.2,0.9533333333333334,47.891129819999996,14.366666666666667,6.801884110666666,4300.000025431315
Cameroon,Sub-Saharan Africa,Lower middle income,2,54.193333333333335,828.5227781066666,9.04,288.26666666666665,6.113333333333333,47.891129819999996,11.793333333333333,3.97704506,6349.333391825358
Canada,North America,High income,3,81.86,29733.49008,15.873333333333335,63.46666666666667,0.1,80.06782987599999,2.5,9.779674148,543563.9977213541
Central African Republic,Sub-Saharan Africa,Low income,2,48.68,371.0234363933333,6.306666666666667,352.0,8.626666666666667,17.815074963333334,37.96666666666667,4.39077781,199.33333347241066
Chad,Sub-Saharan Africa,Low income,2,50.57333333333334,506.0290213266666,6.180000000000001,240.0,4.319999999999999,8.8733969608,33.74,4.720863675333334,1033.3333470026648
Chile,Latin America & Caribbean,High income,3,79.59333333333333,6581.742755866667,14.993333333333334,67.0,0.1,59.969352568,3.2133333333333334,7.034854380666667,65351.33359781901
China,East Asia & Pacific,Upper middle income,1,74.43333333333334,2437.6985561333336,11.566666666666666,71.0,0.1,30.544217491999998,5.053333333333333,4.331039667333333,7213699.994791667
Colombia,Latin America & Caribbean,Upper middle income,1,73.41333333333334,3378.2916094666666,12.293333333333333,121.4,0.1,16.462968781333334,10.266666666666667,6.574697684666666,64191.99965413413
Comoros,Sub-Saharan Africa,Lower middle income,2,61.72,647.3530992333333,10.073333333333332,238.86666666666667,0.29333333333333333,47.891129819999996,6.6,5.618217373333334,148.00000095367415
Costa Rica,Latin America & Caribbean,Upper middle income,1,78.66000000000001,4195.1515260666665,12.92,67.46666666666667,0.1,35.92407721066666,4.566666666666666,7.316200382666667,6864.66664759318
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,2,50.55333333333333,3045.0455303666668,12.406666666666666,414.4,4.526666666666667,47.891129819999996,15.433333333333334,4.676420290666667,6803.999947865805
